color;streak;lustre;transparency;cleavage;mohs_hardness;density;fracture;group
"1;3;4;7";1;"2;4";"1;2";2;3.5-4;3.11;6;3
"1;3;7;12;13";1;"2;8";1;2;3.5-4;2.786;"2;3;6";3
"1;4;7;12";1;2;2;2;3.5-4;3.15;6;3
"1;3;5;7;13";1;"2;6";"1;2";4;3.5-4;2.9-3.0;6;3
"1;3;7;13";1;"2;6";"1;2";2;3-3.5;4.29;"2;6";3
1;1;4;2;4;2;2.287;2;2
"4;5;8;10;11;12";1;"2;5;8";1;2;7-8.5;3.2-3.45;"2;6";1
"1;4;6;7";1;2;1;6;6;3.2-3.32;"2;6";1
"1;4;7";1;2;1;6;6;3.17-3.35;"2;6";1
"1;4;5;6;7;12";1;"2;6";1;3;6-6.5;3.177-3.186;"2;6";1
"4;7;8;13";"7;1";"2;6";1;4;6-6.5;8;"2;6";1
"1;5;6;7;8;9;13";1;"2;7";"1;2;3";4;5-5.5;3;"2;6";1
"3;4;5;7;8;9;12";1;2;"1;3";3;6.5-7.5;3.13-3.16;"2;6";1
11;13;2;1;3;6;3.39;2;1
"1;3;4;7;8;10;11;13";1;"2;4;8";"1;2";2;4.5-7;3.53-3.65;"2;3";1
"1;4;7;8;9;12;13";1;"2;3";"1;2";1;6.5-7.5;3.23-3.24;2;1
"4;5;7;8;9;13";1;2;"1;2";4;7;3.3;6;1
"2;4;9";1;"2;8";1;4;6.5-7;4.392-4.40;2;1
"4;5;8;9;11;12";1;"2;6";1;4;6.5-7;3.3-3.5;6;1
"4;5;7;10";"13;3";"2;7;8";"1;2;3";3;7-7.5;3.74-3.83;"2;6";1
"1;2;10";1;2;1;2;8;3.49-3.6;2;1
11;1;"2;6";2;4;7.5;2.96-3;6;1
"3;4;6;7;8;10";1;"2;3;6";"1;2;3";5;7-8;4.6-4.7;6;1
"1;3;8;9;10";1;"2;4";"1;2";2;7.5;2.99-3.10;2;1
"1;4";5;2;3;3;6-6.5;4.72-4.83;2;1
"1;3;4";1;2;"1;3";5;3.5;2.53-2.59;1;1
"1;3;5";1;"2;4";"1;2";5;5-5.5;3.03-3.27;2;1
"5;6;12";1;2;1;5;5;3.05;2;1
"3;8;11;13";1;"2;7";1;1;5;3.02;"2;4";1
"1;3;4;8;13";1;"3;6;7";"2;3";3;5-5.5;3.48-3.6;6;1
"2;4";3;"1;2;6;7";"2;3";4;5.5-6;3.5-4.2;"2;6";1
"1;3;6;7;9;13";3;2;"1;2";2;6.5;3.21-3.38;"2;6";1
"7;8;13";"1;3;8";"2;4;7";"1;2;3";2;6-7;3.38-3.49;2;1
"1;7;8;9;10;11;12";1;"2;7";"1;2";4;6-7;3.32-3.43;"2;6";1
"2;3";2;1;3;3;5.5-6;3.99-4.064;6;1
"1;3;9;13";1;"2;6";2;3;6;3.05-3.12;2;1
"4;5;7";1;2;"1;2";5;5.5-6.50;2.74-2.80;2;1
8;1;"2;3";3;2;5.5;3.31-3.35;2;1
"4;8";1;2;2;2;5.5;3.25;2;1
12;12;2;1;1;5;3.34;2;1
8;1;2;2;3;5.5;3.18-3.2;2;1
4;7;1;3;1;2-3;3.44-3.53;2;1
"6;7";13;2;1;3;5-6;3.48-3.5;6;1
"3;9;11";1;2;"1;2";3;6.5-7;3.27-3.29;2;1
"4;5;7;11;13";1;2;"2;3";3;6.5-7;3.27-3.29;"2;6";1
"3;4;8;9";1;2;"1;2;3";3;6.5-7;3.27-3.29;"2;6";1
"7;10;12;13";1;"4;2";1;2;6-7;2.59-2.61;2;1
"1;3;4;8;9;13";1;"2;3;4;5";"1;2";1;3.475-3.484;4.5-5;"2;6";1
10;8;2;"1;2";1;4-5;3.16-3.2;2;1
"2;4;7;12";9;"2;3;6";1;1;3-4;2.88-3.13;2;1
"5;7;8;11";1;"2;6";"2;3";1;2-3;2.76-3;2;1
"8;9;10;11;12";1;2;1;1;6.5-7;3.15-3.36;"2;6";1
"12;13";1;2;2;1;6-7;3.15-3.36;"2;6";1
"2;3;8;12";"4;5";"2;6";"1;2";4;2.89-3.02;5.5-6;6;1
6;"4;5";6;"1;2";4;5.5-6;2.89-3.02;6;1
"1;7;12;13";4;6;"1;2";4;5.5-6;2.89-3.02;6;1
"1;2;3;4";"4;13";"6;8";"1;2;3";5;7;3.03-3.15;"2;6";1
"1;4;7;12";12;"2;6";1;4;7-7.5;3.3;6;1
"8;10";1;2;3;6;7.5;3.1;6;1
"1;5;6;7;10;11;13";1;"2;8";"1;2";5;7.5;2.9-3.1;5;1
"2;4;8";4;2;3;6;6;3.18-3.22;2;1
13;1;2;"1;2";6;7-7.5;2.9-3.1;"2;6";1
8;1;2;"1;2";6;7.5;2.9-3.1;"2;6";1
"9;10";1;2;"1;2";6;7.5;2.9-3.1;"2;6";1
"5;11;12";1;2;"1;2";6;7-7.5;2.9-3.26;"1;6";1
"1;10;12;13";1;2;"1;2";4;6-6.5;3.65-3.68;6;1
"9;10";1;2;2;4;6.5-7;2.77-2.85;2;1
9;1;2;1;4;7.5-8;2.68-2.8;"2;6";1
5;1;2;"1;2";4;7.5-8;2.57;"2;6";1
12;1;2;"1;2";4;7.5-8;2.71-2.9;"2;6";1
"7;8";1;"2;8";"1;2";6;7.5-8;2.67-2.69;"2;6";1
13;1;2;1;6;7.5-8;2.63-2.91;"2;6";1
8;1;2;1;4;7.5-8;2.69-2.78;"2;6";1
10;1;2;1;4;7.5-8;2.5;"2;6";1
"1;12;13";1;2;"1;2;3";4;7.5-8;2.63-2.91;"2;6";1
"11;13";1;2;1;6;7-7.5;2.49-2.59;6;1
"5;12";1;2;"1;2";4;8;2.86-2.97;"2;6";1
10;1;2;"1;2";4;7.5;2.79-2.85;2;1
7;1;2;"2;3";2;4.5-5;2.75-2.77;6;1
"4;7;9;11";"1;7";2;"1;2;3";2;5.5-6;2.65-2.9;6;1
"3;7;8;9;10;11";1;2;"1;2";3;7-7.5;2.505-2.66;"2;6";1
"10;11";1;2;"2;3";4;7-7.5;2.76-2.78;"2;3";1
"2;4;5;12";4;2;"2;3";6;5;2.38-2.71;"2;6";1
"4;5;7;12";1;"2;8";"1;2";4;5-5.5;2.8-3.1;2;1
8;"8;10";"2;8";"1;2;3";2;5;3.28-3.35;"2;3;6";1
"2;4";"3;8";"2;8";3;2;5.5-6;3.19-3.56;"2;6";1
